issue_id,series_ticker,subject,word_normalized,latest14d_events,latest14d_mean_probability,prior28d_events,prior28d_mean_probability,matched_supported,change_pp,interpretation
ai_jobs_regulation,KXEARNINGSMENTIONTLN,talen energy corporation,anthropic / claude,0,,1,0.10500000000000001,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONULTA,ulta beauty inc.,ai / artificial intelligence,1,0.905,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONWING,wingstop inc.,ai / artificial intelligence,0,,1,0.425,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONWMT,walmart inc.,automation,0,,1,0.905,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONYETI,yeti holdings inc.,ai / artificial intelligence,0,,1,0.705,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONYUM,yum brands inc.,ai / artificial intelligence,0,,1,0.915,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONZETA,zeta global holdings corp.,ai infrastructure,0,,1,0.46499999999999997,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONZETA,zeta global holdings corp.,openai,0,,1,0.635,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONZM,zoom communications inc.,ai companion,1,0.935,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXEARNINGSMENTIONZS,zscaler,claude / anthropic,1,0.535,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXELONMENTION,elon musk,ai / artificial intelligence,0,,1,0.83,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXELONMENTION,elon musk,anthropic / openai,0,,1,0.5800000000000001,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXFEDMENTION,kevin warsh,ai / artificial intelligence,0,,1,0.765,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXFOXNEWSMENTION,joe manchin,ai / artificial intelligence,0,,1,0.12,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXFOXNEWSMENTION,marco rubio,ai / artificial intelligence,0,,1,0.265,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXHEARINGMENTION,any participating witness,automate / automated / automation,0,,1,0.73,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXMADDOWMENTION,rachel maddow,ai / artificial intelligence,0,,1,0.105,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXMAMDANIMENTION,zohran mamdani,ai / artificial intelligence,2,0.1,6,0.11666666666666667,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXMELANIAMENTION,melania trump,ai / artificial intelligence,0,,1,0.13,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXTRUMPMENTION,donald trump,ai / artificial intelligence,1,0.22999999999999998,7,0.28285714285714286,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXTRUMPMENTIONB,donald trump,ai / artificial intelligence,1,0.335,1,0.375,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXTRUMPSAYCOMPANY,trump,anthropic / claude,0,,1,0.325,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXTRUMPSAYCOMPANY,trump,chatgpt / openai,0,,1,0.375,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
ai_jobs_regulation,KXVANCEMENTION,jd vance,ai / artificial intelligence,0,,1,0.10500000000000001,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
electricity_datacenters,KXDEBATEMENTION,any participating candidate,data center,0,,1,0.5800000000000001,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
electricity_datacenters,KXEARNINGSMENTIONAMZN,amazon.com inc.,data center,0,,1,0.835,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
electricity_datacenters,KXEARNINGSMENTIONCELH,celsius holdings inc.,electric vibe,0,,1,0.595,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
electricity_datacenters,KXEARNINGSMENTIONDELL,dell technologies inc.,data center,1,0.8400000000000001,0,,False,,expected_language_at_fixed_retrospective_lead_not_observed_salience
