issue_id,channel,week_start_utc,observed_days,newly_listed_events,volume_observed_contracts,last_observed_day,oi_at_last_observed_day,interpretation
energy_iran,policy,2026-07-13,7,4,2069490.12,2026-07-19,8311903.01,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,policy,2026-07-20,7,3,2071601.59,2026-07-26,8352624.36,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,policy,2026-07-27,7,3,2385251.2,2026-08-02,8258182.88,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,policy,2026-08-03,7,4,2829864.96,2026-08-09,8355494.64,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,policy,2026-08-10,7,3,1814459.31,2026-08-16,8417005.84,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,policy,2026-08-17,7,3,1269885.3800000001,2026-08-23,7995695.76,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,policy,2026-08-24,7,5,1586714.19,2026-08-30,8437147.84,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,policy,2026-08-31,7,7,934749.41,2026-09-06,6337608.24,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
energy_iran,policy,2026-09-07,1,0,154672.95,2026-09-07,6344518.61,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,macro,2026-07-06,5,0,3835826.4000000004,2026-07-12,17016047.23,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,macro,2026-07-13,7,0,11939472.530000001,2026-07-19,24405859.53,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,macro,2026-07-20,7,0,14546919.12,2026-07-26,34707101.17,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,macro,2026-07-27,7,4,29902265.33,2026-08-02,7906257.31,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,macro,2026-08-03,7,0,3165050.33,2026-08-09,8118430.87,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,macro,2026-08-10,7,0,5751203.64,2026-08-16,14302269.17,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,macro,2026-08-17,7,0,3909668.26,2026-08-23,15866308.47,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,macro,2026-08-24,7,0,11894236.42,2026-08-30,26679246.45,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,macro,2026-08-31,7,0,15792547.89,2026-09-06,34429494.05,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,macro,2026-09-07,1,0,727869.54,2026-09-07,34564072.07,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,mention,2026-07-06,5,0,275.07,2026-07-12,2776.86,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,mention,2026-07-13,6,3,37635.02,2026-07-19,407.56,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,mention,2026-07-20,2,0,6249.15,2026-07-21,3182.86,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,mention,2026-07-27,1,1,4450.45,2026-07-29,3290.47,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
fed_rates,policy,2026-07-06,5,0,20603.42,2026-07-12,255842.69,OI_stock_not_summed_across_days; partial_weeks_and_changing_coverage
