issue_id,channel,series_ticker,recent_days,day,period,fixed_panel_contracts,volume,observed_contracts,events,traded_contracts,median_spread,usable_hours,hours,volume_per_observed_contract,issue_label
electoral_context,election,SENATEME,14,2026-08-17,prior,2,5335.92,2.0,1.0,2.0,0.01,44.0,44.0,2667.96,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-18,prior,2,7419.21,2.0,1.0,2.0,0.01,38.0,38.0,3709.605,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-19,prior,2,6367.61,2.0,1.0,2.0,0.00999999999999995,43.0,43.0,3183.805,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-20,prior,2,9061.71,2.0,1.0,2.0,0.00999999999999995,42.0,42.0,4530.855,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-21,prior,2,2211.73,2.0,1.0,2.0,0.00999999999999995,41.0,41.0,1105.865,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-22,prior,2,71076.48999999999,2.0,1.0,2.0,0.009999999999999901,44.0,44.0,35538.244999999995,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-23,prior,2,5298.29,2.0,1.0,2.0,0.0149999999999999,44.0,44.0,2649.145,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-24,prior,2,19946.27,2.0,1.0,2.0,0.009999999999999901,42.0,42.0,9973.135,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-25,recent,2,20812.04,2.0,1.0,2.0,0.009999999999999901,44.0,44.0,10406.02,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-26,recent,2,25351.64,2.0,1.0,2.0,0.009999999999999901,48.0,48.0,12675.82,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-27,recent,2,95114.7,2.0,1.0,2.0,0.01,46.0,46.0,47557.35,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-28,recent,2,296048.1,2.0,1.0,2.0,0.009999999999999901,42.0,42.0,148024.05,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-29,recent,2,30002.6,2.0,1.0,2.0,0.01,43.0,43.0,15001.3,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-30,recent,2,6708.74,2.0,1.0,2.0,0.01,37.0,37.0,3354.37,Election outcomes and control
electoral_context,election,SENATEME,14,2026-08-31,recent,2,8347.71,2.0,1.0,2.0,0.01,44.0,44.0,4173.855,Election outcomes and control
electoral_context,election,SENATEME,14,2026-09-01,recent,2,33362.990000000005,2.0,1.0,2.0,0.015,48.0,48.0,16681.495000000003,Election outcomes and control
electoral_context,election,SENATEME,14,2026-09-02,recent,2,43352.58,2.0,1.0,2.0,0.009999999999999901,47.0,47.0,21676.29,Election outcomes and control
electoral_context,election,SENATEME,14,2026-09-03,recent,2,25517.199999999997,2.0,1.0,2.0,0.009999999999999901,45.0,45.0,12758.599999999999,Election outcomes and control
electoral_context,election,SENATEME,14,2026-09-04,recent,2,5770.5599999999995,2.0,1.0,2.0,0.009999999999999901,46.0,46.0,2885.2799999999997,Election outcomes and control
electoral_context,election,SENATEME,14,2026-09-05,recent,2,7241.24,2.0,1.0,2.0,0.009999999999999901,45.0,45.0,3620.62,Election outcomes and control
electoral_context,election,SENATEME,14,2026-09-06,recent,2,16147.55,2.0,1.0,2.0,0.009999999999999901,41.0,41.0,8073.775,Election outcomes and control
electoral_context,election,SENATEME,14,2026-09-07,recent,2,4386.64,2.0,1.0,2.0,0.009999999999999901,32.0,32.0,2193.32,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-07-28,prior,2,40696.46,2.0,1.0,2.0,0.015,42.0,42.0,20348.23,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-07-29,prior,2,4707.110000000001,2.0,1.0,2.0,0.01,31.0,31.0,2353.5550000000003,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-07-30,prior,2,12169.509999999998,2.0,1.0,2.0,0.01,36.0,36.0,6084.754999999999,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-07-31,prior,2,27849.11,2.0,1.0,2.0,0.01,44.0,44.0,13924.555,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-01,prior,2,4971.7,2.0,1.0,2.0,0.01,32.0,32.0,2485.85,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-02,prior,2,9824.18,2.0,1.0,2.0,0.01,43.0,43.0,4912.09,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-03,prior,2,50041.18,2.0,1.0,2.0,0.00999999999999995,45.0,45.0,25020.59,Election outcomes and control
electoral_context,election,SENATEMI,14,2026-08-04,prior,2,20766.06,2.0,1.0,2.0,0.01,48.0,48.0,10383.03,Election outcomes and control
