issue_id,channel,series_ticker,event_ticker,event_creation_day,observed_contract_days,coverage_fraction,volume_per_observed_contract_day,total_volume,issue_label
trade_tariffs,mention,KXEARNINGSMENTIONPANW,KXEARNINGSMENTIONPANW-26SEP01,2026-08-26T00:00:00Z,2,1.0,57.629999999999995,115.25999999999999,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONPATH,KXEARNINGSMENTIONPATH-26SEP03,2026-08-26T00:00:00Z,4,1.0,0.0,0.0,"AI, jobs and regulation"
trade_tariffs,mention,KXEARNINGSMENTIONPATH,KXEARNINGSMENTIONPATH-26SEP03,2026-08-26T00:00:00Z,2,1.0,62.5,125.0,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONPLTR,KXEARNINGSMENTIONPLTR-26AUG03,2026-07-21T00:00:00Z,6,1.0,304.40333333333336,1826.42,"AI, jobs and regulation"
energy_iran,mention,KXEARNINGSMENTIONPLTR,KXEARNINGSMENTIONPLTR-26AUG03,2026-07-21T00:00:00Z,2,1.0,122.21000000000001,244.42000000000002,Energy and Iran
healthcare,mention,KXEARNINGSMENTIONPLTR,KXEARNINGSMENTIONPLTR-26AUG03,2026-07-21T00:00:00Z,2,1.0,50.0,100.0,Health care
immigration,mention,KXEARNINGSMENTIONPLTR,KXEARNINGSMENTIONPLTR-26AUG03,2026-07-21T00:00:00Z,2,1.0,0.0,0.0,Immigration
jobs_growth,mention,KXEARNINGSMENTIONPLTR,KXEARNINGSMENTIONPLTR-26AUG03,2026-07-21T00:00:00Z,2,1.0,53.11,106.22,Jobs and growth
ai_jobs_regulation,mention,KXEARNINGSMENTIONPYPL,KXEARNINGSMENTIONPYPL-26JUL28,2026-07-20T00:00:00Z,2,1.0,225.605,451.21,"AI, jobs and regulation"
trade_tariffs,mention,KXEARNINGSMENTIONRACE,KXEARNINGSMENTIONRACE-26JUL30,2026-07-23T00:00:00Z,2,1.0,78.985,157.97,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONRDDT,KXEARNINGSMENTIONRDDT-26JUL30,2026-07-20T00:00:00Z,2,1.0,2479.485,4958.97,"AI, jobs and regulation"
ai_jobs_regulation,mention,KXEARNINGSMENTIONSBUX,KXEARNINGSMENTIONSBUX-26JUL29,2026-07-16T00:00:00Z,2,1.0,136.35,272.7,"AI, jobs and regulation"
trade_tariffs,mention,KXEARNINGSMENTIONSBUX,KXEARNINGSMENTIONSBUX-26JUL29,2026-07-16T00:00:00Z,2,1.0,627.71,1255.42,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONSHOP,KXEARNINGSMENTIONSHOP-26AUG05,2026-07-23T00:00:00Z,4,1.0,257.5775,1030.31,"AI, jobs and regulation"
trade_tariffs,mention,KXEARNINGSMENTIONSHOP,KXEARNINGSMENTIONSHOP-26AUG05,2026-07-23T00:00:00Z,2,1.0,207.115,414.23,Trade and tariffs
trade_tariffs,mention,KXEARNINGSMENTIONSNAP,KXEARNINGSMENTIONSNAP-26AUG03,2026-07-23T00:00:00Z,2,1.0,5.0,10.0,Trade and tariffs
ai_jobs_regulation,mention,KXEARNINGSMENTIONSNOW,KXEARNINGSMENTIONSNOW-26SEP02,2026-08-26T00:00:00Z,2,1.0,283.775,567.55,"AI, jobs and regulation"
ai_jobs_regulation,mention,KXEARNINGSMENTIONSPCX,KXEARNINGSMENTIONSPCX-26AUG04,2026-07-21T00:00:00Z,2,1.0,33.0,66.0,"AI, jobs and regulation"
electricity_datacenters,mention,KXEARNINGSMENTIONSPCX,KXEARNINGSMENTIONSPCX-26AUG04,2026-07-21T00:00:00Z,2,1.0,335.0,670.0,Electricity and data centers
affordability_inflation,mention,KXEARNINGSMENTIONSTZ,KXEARNINGSMENTIONSTZ-26OCT05,2026-07-27T00:00:00Z,2,1.0,0.5,1.0,Affordability and inflation
energy_iran,mention,KXEARNINGSMENTIONSTZ,KXEARNINGSMENTIONSTZ-26OCT05,2026-07-27T00:00:00Z,2,1.0,0.0,0.0,Energy and Iran
immigration,mention,KXEARNINGSMENTIONSTZ,KXEARNINGSMENTIONSTZ-26OCT05,2026-07-27T00:00:00Z,2,1.0,355.0,710.0,Immigration
