issue_id,channel,recent_days,metadata_contracts,metadata_families,families_with_any_window_observation,eligible_continuing_families,eligible_continuing_contracts,minimum_required_families,equal_family_log1p_activity_change,median_family_volume_ratio,median_family_robust_activity_z,families_activity_rising,share_families_activity_rising,equal_family_persistence_share,recent_fixed_panel_volume,largest_family_volume_share,largest_family,median_quote_usable_share,attention_class,electoral_salience_status,minimum_day_coverage,issue_label
electoral_context,election,14,1228,161,160,99,324,3,0.3793936204003222,1.1993577522101773,0.23599830933638108,64.0,0.6464646464646465,0.5107300107300107,13747805.549999999,0.2498834804948198,CONTROLH,1.0,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,0.8,Election outcomes and control
electricity_datacenters,macro,7,61,4,4,0,0,3,,,,,,,,,,,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.8,Electricity and data centers
electricity_datacenters,macro,14,61,4,4,1,6,3,-0.28319912209287706,0.006303030303030303,,0.0,0.0,0.16666666666666666,1.92,1.0,KXUSDCCAPACITY,0.9182692307692307,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.8,Electricity and data centers
electricity_datacenters,mention,7,43,18,10,0,0,3,,,,,,,,,,,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.8,Electricity and data centers
electricity_datacenters,mention,14,43,18,12,0,0,3,,,,,,,,,,,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.8,Electricity and data centers
electricity_datacenters,policy,7,15,7,7,3,4,3,0.37799235267968484,0.9032611609258893,0.39599678256359877,1.0,0.3333333333333333,0.28571428571428575,2370.17,0.9957808933536413,KXMORATORIUMCOUNT,0.7837837837837838,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.8,Electricity and data centers
electricity_datacenters,policy,14,15,7,7,2,3,3,1.0327363237361058,3.4282478327135504,0.5163152759463249,2.0,1.0,0.4340659340659341,8128.200000000001,0.9948844762678084,KXMORATORIUMCOUNT,0.7183236256283412,insufficient_continuing_family_coverage,requires_independent_poll_campaign_and_policy_evidence,0.8,Electricity and data centers
energy_iran,macro,7,541,8,6,3,28,3,-0.16040568933048918,0.8762034554296413,-0.10993885914959031,2.0,0.6666666666666666,0.2857142857142857,130614.24,0.8062862824145361,KXWTIMAX,0.9601139601139601,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.8,Energy and Iran
energy_iran,macro,14,541,8,6,3,27,3,-0.32112484923534773,0.7805671185546903,-0.638035063259923,0.0,0.0,0.35714285714285715,353875.06,0.8688206792532936,KXWTIMAX,0.9724907063197026,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.8,Energy and Iran
energy_iran,mention,7,497,65,35,4,8,3,1.1490631636783641,1.7638892261070571,1.0017953546300875,2.0,0.5,0.6964285714285714,28637.7,0.9435150169182581,KXSECPRESSMENTION,0.9505220883534137,concentrated_activity_no_broad_attention_claim,requires_independent_poll_campaign_and_policy_evidence,0.8,Energy and Iran
energy_iran,mention,14,497,65,45,3,6,3,0.8567883464092899,1.9260491221474643,0.6686200791774602,3.0,1.0,0.663003663003663,2518.88,0.6237375341421584,KXFEDMENTION,0.9550561797752809,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,0.8,Energy and Iran
energy_iran,policy,7,400,26,24,14,41,3,0.34566331166668085,1.0912675228025297,-0.03901855318011109,10.0,0.7142857142857143,0.552721088435374,746943.17,0.653631172502722,KXHORMUZNORM,1.0,mixed_or_transient_marketplace_activity_rising,requires_independent_poll_campaign_and_policy_evidence,0.8,Energy and Iran
